species,number,location,date_feather_collected,date_oiled,study_type,treatment,length,pre_weight,post_weight,weight_change,perc_weight_change,time
manx_shearwater,103,great_blasket,03/07/2015,24/06/2021,percolation,2,4.0,0.0068,0.0135,0.0067,98.53,22.57
manx_shearwater,104,great_blasket,11/07/2015,24/06/2021,percolation,3,4.1,0.0084,0.0439,0.0355,422.62,24.28
manx_shearwater,105,great_blasket,02/07/2015,24/06/2021,percolation,4,4.0,0.0083,0.0632,0.0549,661.45,60.73
manx_shearwater,106,great_blasket,02/07/2015,24/06/2021,percolation,0,4.0,0.0075,0.0075,0.0000,0.00,733.38
manx_shearwater,107,great_blasket,03/07/2015,24/06/2021,percolation,1,4.2,0.0081,0.0085,0.0004,4.94,35.48
manx_shearwater,108,great_blasket,02/07/2015,24/06/2021,percolation,2,3.7,0.0056,0.0112,0.0056,100.00,12.79
manx_shearwater,109,high_island,26/05/2015,24/06/2021,percolation,3,3.9,0.0074,0.0384,0.0310,418.92,31.49
manx_shearwater,110,high_island,31/05/2015,24/06/2021,percolation,4,4.1,0.0080,0.0435,0.0355,443.75,18.31
manx_shearwater,111,high_island,26/05/2015,29/06/2021,percolation,0,4.4,0.0086,0.0086,0.0000,0.00,73.79
manx_shearwater,112,high_island,27/05/2015,29/06/2021,percolation,1,4.0,0.0076,0.0084,0.0008,10.53,87.72
manx_shearwater,113,high_island,29/05/2015,29/06/2021,percolation,2,4.2,0.0077,0.0115,0.0038,49.35,13.84
manx_shearwater,114,high_island,15/08/2015,29/06/2021,percolation,3,3.7,0.0064,0.0331,0.0267,417.19,33.04
manx_shearwater,115,high_island,07/06/2015,29/06/2021,percolation,4,4.7,0.0064,0.0532,0.0468,731.25,876.39
manx_shearwater,116,high_island,03/07/2015,29/06/2021,percolation,0,4.4,0.0082,0.0082,0.0000,0.00,40.63
manx_shearwater,117,high_island,05/06/2015,29/06/2021,percolation,1,3.4,0.0062,0.0084,0.0022,35.48,23.81
manx_shearwater,118,high_island,08/06/2015,29/06/2021,percolation,2,4.1,0.0074,0.0131,0.0057,77.03,76.47
manx_shearwater,119,high_island,09/06/2015,29/06/2021,percolation,3,4.2,0.0082,0.0341,0.0259,315.85,41.80
manx_shearwater,120,high_island,10/06/2015,29/06/2021,percolation,4,4.0,0.0083,0.0579,0.0496,597.59,159.02
manx_shearwater,121,great_blasket,20/07/2014,29/06/2021,percolation,0,4.5,0.0090,0.0090,0.0000,0.00,593.29
manx_shearwater,122,great_blasket,16/07/2014,29/06/2021,percolation,1,5.4,0.0123,0.0124,0.0001,0.81,10.32
manx_shearwater,123,great_blasket,20/07/2014,29/06/2021,percolation,2,4.2,0.0080,0.0129,0.0049,61.25,33.02
manx_shearwater,124,great_blasket,21/07/2014,29/06/2021,percolation,3,4.7,0.0086,0.0386,0.0300,348.84,13.32
manx_shearwater,125,great_blasket,20/07/2014,29/06/2021,percolation,4,4.0,0.0085,0.0860,0.0775,911.76,24.88
manx_shearwater,126,high_island,27/07/2014,29/06/2021,percolation,0,3.8,0.0077,0.0077,0.0000,0.00,938.04
manx_shearwater,127,high_island,25/07/2014,29/06/2021,percolation,1,3.7,0.0061,0.0064,0.0003,4.92,35.90
manx_shearwater,128,high_island,31/07/2014,29/06/2021,percolation,2,4.3,0.0077,0.0131,0.0054,70.13,57.67
manx_shearwater,129,high_island,03/08/2014,29/06/2021,percolation,3,4.2,0.0078,0.0422,0.0344,441.03,18.72
manx_shearwater,130,high_island,27/07/2014,29/06/2021,percolation,4,4.3,0.0083,0.0619,0.0536,645.78,40.14
manx_shearwater,141,great_blasket,10/07/2015,01/07/2021,percolation,0,4.1,0.0089,0.0089,0.0000,0.00,959.00
